Train Noise Type,Train Noise Level,Test Noise Type,Test Noise Level,LSD,Mean Polar ACC Error (Degrees),Mean Polar RMS Error (Degrees),Mean Quadrant Error (%),
Brown,-20,Brown,30,6.794,-9.342,39.545,22.841,
Brown,-20,Brown,20,6.832,-9.371,39.536,22.834,
Brown,-20,Brown,10,7.166,-10.312,39.727,23.297,
Brown,-20,Brown,0,8.783,-16.460,40.707,26.288,
Brown,-20,Brown,-10,13.402,-38.314,43.594,35.590,
Brown,-20,Brown,-20,16.187,-50.970,44.980,41.124,
Brown,-20,White,30,,,,,
Brown,-20,White,20,,,,,
Brown,-20,White,10,,,,,
Brown,-20,White,0,,,,,
Brown,-20,White,-10,,,,,
Brown,-20,White,-20,23.757,-68.948,47.655,45.657,
White,30,Pink,30,5.365,-10.733,38.167,16.054,
White,30,Pink,20,5.362,-10.700,38.181,16.102,
White,30,Pink,10,,,,,
White,30,Pink,0,,,,,
White,30,Pink,-10,,,,,
White,30,Pink,-20,,,,,
White,30,Brown,30,4.146,-6.148,37.271,11.825,
White,30,Brown,20,4.137,-5.980,37.253,11.824,
White,30,Brown,10,,,,,
White,30,Brown,0,,,,,
White,30,Brown,-10,,,,,
White,30,Brown,-20,,,,,
White,30,White,30,4.289,-6.999,37.360,12.258,
White,30,White,20,5.086,-9.853,37.935,14.571,
White,30,White,10,9.375,-25.473,40.471,26.884,
White,30,White,0,36.838,-69.232,48.128,45.788,
White,30,White,-10,NaN,NaN,NaN,NaN,
White,30,White,-20,NaN,NaN,NaN,NaN,
White,20,Pink,30,6.404,0.350,37.629,12.370,
White,20,Pink,20,6.402,0.369,37.606,12.378,
White,20,Pink,10,6.400,0.377,37.603,12.335,
White,20,Pink,0,,,,,
White,20,Pink,-10,,,,,
White,20,Pink,-20,,,,,
White,20,Brown,30,4.137,0.941,37.218,9.972,
White,20,Brown,20,4.135,1.033,37.201,9.936,
White,20,Brown,10,4.229,2.092,37.165,10.076,
White,20,Brown,0,,,,,
White,20,Brown,-10,,,,,
White,20,Brown,-20,,,,,
White,20,White,30,4.336,0.761,37.361,10.165,
White,20,White,20,5.751,0.045,37.667,11.792,
White,20,White,10,7.965,1.277,38.071,14.209,
White,20,White,0,20.841,-9.002,43.753,36.549,
White,20,White,-10,NaN,NaN,NaN,NaN,
White,20,White,-20,NaN,NaN,NaN,NaN,
White,10,Pink,30,,,,,
White,10,Pink,20,7.097,-3.618,38.027,14.779,
White,10,Pink,10,7.097,-3.540,38.015,14.833,
White,10,Pink,0,9.974,-11.744,39.010,18.586,
White,10,Pink,-10,,,,,
White,10,Pink,-20,,,,,
White,10,Brown,30,,,,,
White,10,Brown,20,4.978,-2.625,37.704,12.466,
White,10,Brown,10,4.755,-1.929,37.584,11.900,
White,10,Brown,0,9.577,-24.598,41.627,24.454,
White,10,Brown,-10,,,,,
White,10,Brown,-20,,,,,
White,10,White,30,5.268,-2.770,37.750,12.786,
White,10,White,20,6.479,-3.099,37.942,14.157,
White,10,White,10,9.975,-6.448,38.474,16.973,
White,10,White,0,10.553,-2.585,39.215,17.603,
White,10,White,-10,12.674,-16.964,41.057,21.167,
White,10,White,-20,NaN,NaN,NaN,NaN,
White,0,Pink,30,,,,,
White,0,Pink,20,,,,,
White,0,Pink,10,5.110,-8.382,38.046,13.758,
White,0,Pink,0,9.550,-15.345,39.119,21.642,
White,0,Pink,-10,17.244,-46.251,45.908,37.144,
White,0,Pink,-20,,,,,
White,0,Brown,30,,,,,
White,0,Brown,20,,,,,
White,0,Brown,10,4.322,-3.145,37.296,10.871,
White,0,Brown,0,5.372,-3.930,37.424,11.167,
White,0,Brown,-10,23.183,-62.866,47.376,43.143,
White,0,Brown,-20,,,,,
White,0,White,30,4.556,-5.235,37.755,12.164,
White,0,White,20,4.966,-7.713,38.020,13.364,
White,0,White,10,7.032,-16.606,38.905,18.807,
White,0,White,0,13.408,-27.716,40.672,27.038,
White,0,White,-10,13.775,-33.002,41.323,30.733,
White,0,White,-20,20.352,-44.037,45.534,35.948,
White,-10,Pink,30,,,,,
White,-10,Pink,20,,,,,
White,-10,Pink,10,,,,,
White,-10,Pink,0,,,,,
White,-10,Pink,-10,12.716,-5.682,43.366,38.476,
White,-10,Pink,-20,,,,,
White,-10,Brown,30,,,,,
White,-10,Brown,20,,,,,
White,-10,Brown,10,,,,,
White,-10,Brown,0,,,,,
White,-10,Brown,-10,32.701,-66.388,48.128,45.797,
White,-10,Brown,-20,,,,,
White,-10,White,30,5.520,-2.395,37.461,12.514,
White,-10,White,20,5.705,-3.624,37.860,13.285,
White,-10,White,10,6.888,-11.204,39.380,17.760,
White,-10,White,0,13.200,-36.980,43.210,17.760,
White,-10,White,-10,18.494,-53.059,44.952,42.440,
White,-10,White,-20,18.466,-54.979,44.502,44.195,
White,-20,Pink,30,,,,,
White,-20,Pink,20,,,,,
White,-20,Pink,10,,,,,
White,-20,Pink,0,,,,,
White,-20,Pink,-10,,,,,
White,-20,Pink,-20,NaN,NaN,NaN,NaN,
White,-20,Brown,30,,,,,
White,-20,Brown,20,,,,,
White,-20,Brown,10,,,,,
White,-20,Brown,0,,,,,
White,-20,Brown,-10,,,,,
White,-20,Brown,-20,NaN,NaN,NaN,NaN,
White,-20,White,30,7.196,-5.390,38.423,19.938,
White,-20,White,20,7.484,-7.669,38.863,21.293,
White,-20,White,10,9.099,-23.349,40.439,28.322,
White,-20,White,0,13.083,-43.574,43.464,36.980,
White,-20,White,-10,18.055,-60.546,45.665,43.055,
White,-20,White,-20,23.028,-63.709,46.682,44.879,
